Date,Recording.Day.of.Week,Lagged.Day.of.Week,Shift,Arrivals,Departures,Occupancy,Guests.per.Occ.,NCGR,Service.Events
1/9/2024,Tuesday,Tuesday,PM,15,0,81,1.111111111,0,66
1/10/2024,Wednesday,Wednesday,PM,20,0,88,1.159090909,0,85
1/11/2024,Thursday,Thursday,PM,22,0,85,1.317647059,0,98
1/12/2024,Friday,Friday,PM,14,0,73,1.342465753,0,69
1/15/2024,Monday,Monday,PM,15,0,60,1.25,0,68
1/16/2024,Tuesday,Tuesday,PM,17,0,75,1.106666667,0,79
1/17/2024,Wednesday,Wednesday,PM,15,0,74,1.108108108,0,59
1/18/2024,Thursday,Thursday,PM,28,0,88,1.454545455,0,123
1/20/2024,Saturday,Saturday,PM,14,0,75,1.546666667,7,73
1/22/2024,Monday,Monday,PM,29,0,91,1.142857143,0,72
1/24/2024,Wednesday,Wednesday,PM,24,0,98,1.142857143,0,86
1/26/2024,Friday,Friday,PM,20,0,92,1.27173913,0,70
1/27/2024,Saturday,Saturday,PM,17,0,59,1.288135593,0,54
1/29/2024,Monday,Monday,PM,17,0,41,1.195121951,0,43
1/30/2024,Tuesday,Tuesday,PM,7,0,49,1.12244898,0,47
1/31/2024,Wednesday,Wednesday,PM,42,0,85,0.929411765,0,76
2/2/2024,Friday,Friday,PM,13,5,46,1.195652174,0,65
2/3/2024,Saturday,Saturday,AM,15,6,48,1.395833333,0,63
2/3/2024,Saturday,Saturday,PM,9,7,49,1.367346939,0,43
2/5/2024,Monday,Monday,AM,39,8,59,0.949152542,0,43
2/12/2024,Monday,Monday,AM,32,11,67,1.164179104,0,64
2/16/2024,Friday,Friday,AM,13,25,98,1.43877551,0,73
2/19/2024,Monday,Monday,PM,17,0,42,1.261904762,0,46
2/22/2024,Thursday,Thursday,PM,23,0,66,1.121212121,0,71
2/24/2024,Saturday,Saturday,PM,12,0,58,1.482758621,7,35
2/26/2024,Monday,Monday,PM,35,0,68,1.220588235,0,77
3/1/2024,Friday,Friday,PM,11,0,86,1.651162791,20,65
3/2/2024,Saturday,Saturday,PM,12,0,60,1.316666667,3,57
3/4/2024,Monday,Monday,PM,35,0,86,1.104651163,0,95
3/7/2024,Thursday,Thursday,PM,8,0,41,1.12195122,0,44
3/8/2024,Friday,Friday,PM,17,0,53,0.981132075,0,57
3/9/2024,Saturday,Saturday,PM,35.23576725,0,70.20232219,1.1253189,0,50
3/11/2024,Monday,Monday,PM,13,0,95,1.021052632,0,71
3/13/2024,Wednesday,Wednesday,PM,8,0,82,1.073170732,0,49
3/14/2024,Thursday,Thursday,PM,12,0,61,1,0,59
3/15/2024,Friday,Friday,PM,24,0,61,1.196721311,0,78
3/16/2024,Saturday,Saturday,PM,17,0,59,1.508474576,0,66
3/18/2024,Monday,Monday,PM,28,0,81,1.185185185,0,94
3/19/2024,Tuesday,Tuesday,PM,20,0,93,1.075268817,0,106
3/20/2024,Wednesday,Wednesday,PM,23,0,94,1.021276596,0,65
3/21/2024,Thursday,Thursday,PM,10,0,81,1.37037037,0,57
3/22/2024,Friday,Friday,PM,17,0,76,1.421052632,0,76
3/23/2024,Saturday,Saturday,PM,18,0,93,1.430107527,0,82
3/25/2024,Monday,Monday,PM,12,0,97,1.092783505,0,53
3/26/2024,Tuesday,Tuesday,PM,20,0,91,0.967032967,0,78
3/27/2024,Wednesday,Wednesday,PM,3,0,54,0.981481481,0,39
3/29/2024,Friday,Friday,PM,7,0,36,1.333333333,0,46
3/30/2024,Saturday,Saturday,PM,10,0,35,1.057142857,0,21
4/1/2024,Monday,Monday,PM,14,0,44,1.340909091,0,50
4/6/2024,Saturday,Saturday,PM,4,0,62,2.112903226,38,82
4/8/2024,Monday,Monday,PM,27,0,72,0.986111111,1,75
4/10/2024,Wednesday,Wednesday,PM,11,0,84,1.130952381,0,55
4/12/2024,Friday,Friday,PM,10,0,84,1.369047619,20,72
4/13/2024,Saturday,Saturday,PM,3,0,80,1.475,20,72
4/15/2024,Monday,Monday,PM,21,0,71,1.197183099,0,57
4/19/2024,Friday,Friday,PM,22,0,69,1.420289855,0,69
